University,Latitude,Longitude,Logo,Rank,Type,Country,Location,Student,Year,Contact,Email,Website,Strength,Description,Exchange,agricultural_food_science,arts_design,economics_business_management,law_political_science,medicine_pharmacy_health_sciences,science_engineering,social_sciences_humanities,sports_physical_education,technology,others
Deakin University,-38.1445,144.3605,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Deakin_University_Logo_2017.svg/330px-Deakin_University_Logo_2017.svg.png,11,public,Australia,Victoria (state),59000,1974,61399189188,NA,https://www.deakin.edu.au/,"Sports Science, Nutrition",Deakin University was founded in 1974 and they are popular for sports science and nutrition.,NA,True,True,True,True,True,True,True,True,True,False
Edith Cowan University,-31.778,115.812,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Edith_Cowan_University_Coat_of_Arms.svg/270px-Edith_Cowan_University_Coat_of_Arms.svg.png,24,public,Australia,Western Australia,32000,1991,61863040000,NA,https://www.ecu.edu.au/,Cybersecurity,Edith Cowan University was founded in 1991 and they are popular for cybersecurity.,NA,True,True,True,True,True,True,True,True,True,False
Federation University Australia,-37.564,143.856,https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/Shield_and_crest_of_Federation_University_Australia.svg/270px-Shield_and_crest_of_Federation_University_Australia.svg.png,26,public,Australia,Victoria (state),19000,1870,61353279018,NA,https://www.federation.edu.au/,"Mining, Nursing",Federation University Australia was founded in 1870 and they are popular for mining and nursing.,NA,True,True,True,False,True,True,True,True,True,False
Flinders University,-35.0209,138.57,https://upload.wikimedia.org/wikipedia/en/thumb/3/3d/Flinders_University_Emblem_Variant_2022.svg/270px-Flinders_University_Emblem_Variant_2022.svg.png,20,public,Australia,South Australia,26000,1966,61882013911,NA,https://www.flinders.edu.au/,"Medicine, Archaeology",Flinders University was founded in 1966 and they are popular for medicine and archaeology.,NA,True,True,True,True,True,True,True,True,True,False
Griffith University,-27.553,153.052,https://upload.wikimedia.org/wikipedia/en/thumb/a/a9/Griffith_University_Logo_Variant_2022.svg/300px-Griffith_University_Logo_Variant_2022.svg.png,20,public,Australia,Queensland,45000,1971,61737357111,NA,https://www.griffith.edu.au/,"Criminology, Aviation ",Griffith University was founded in 1971 and they are popular for criminology and aviation .,NA,True,True,True,True,True,True,True,True,True,False
James Cook University,-19.328,146.761,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/James_Cook_University_Armorial_Ensigns.png/300px-James_Cook_University_Armorial_Ensigns.png,26,public,Australia,Queensland,21000,1961,61747815255,enquiries@jcu.edu.au,https://www.jcu.edu.au/,Marine Biology,James Cook University was founded in 1961 and they are popular for marine biology.,NA,False,False,True,True,True,True,True,True,True,False
La Trobe University,-37.721,145.0494,https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/LTU_Armorial_CMYK_small.PNG/270px-LTU_Armorial_CMYK_small.PNG,14,public,Australia,Victoria (state),37000,1964,61394791993,NA,https://www.latrobe.edu.au/,"Archaeology, Humanities",La Trobe University was founded in 1964 and they are popular for archaeology and humanities.,NA,True,True,True,True,True,True,True,True,True,False
Macquarie University,-33.774,151.1146,https://upload.wikimedia.org/wikipedia/en/e/e7/Macquarie_University_Coat_of_Arms.png,10,public,Australia,New South Wales,45000,1964,61298507111,NA,https://www.mq.edu.au/,"Finance, Linguistics",Macquarie University was founded in 1964 and they are popular for finance and linguistics.,NA,False,True,True,True,True,True,True,True,True,False
Monash University,-37.9106,145.1362,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Arms_of_Monash_University.svg/330px-Arms_of_Monash_University.svg.png,2,public,Australia,Victoria (state),87000,1958,61399026000,NA,https://www.monash.edu/,"Pharmacy, Engineering",Monash University was founded in 1958 and they are popular for pharmacy and engineering.,NA,True,True,True,True,True,True,True,True,True,True
Murdoch University,-32.066,115.846,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Murdoch_University_Crest.png/270px-Murdoch_University_Crest.png,26,public,Australia,Western Australia,26000,1973,61893606000,NA,https://www.murdoch.edu.au/,"Vet Science, Media Studies",Murdoch University was founded in 1973 and they are popular for vet science and media studies.,NA,True,True,True,True,True,True,True,True,True,False
Queensland University of Technology,-27.4772,153.028,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Queensland_University_of_Technology_logo.svg/500px-Queensland_University_of_Technology_logo.svg.png,11,public,Australia,Queensland,53000,1989,61731388339,NA,https://www.qut.edu.au/,"Robotics, Creative Industries",Queensland University of Technology was founded in 1989 and they are popular for robotics and creative industries.,NA,True,True,True,True,True,True,True,True,True,False
RMIT University,-37.8077,144.963,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Arms_of_the_Royal_Melbourne_Institute_of_Technology.svg/270px-Arms_of_the_Royal_Melbourne_Institute_of_Technology.svg.png,14,public,Australia,Victoria (state),55000,1887,61399252000,NA,https://www.rmit.edu.au/,"Design, Aerospace, Data Science","RMIT University was founded in 1887 and they are popular for design, aerospace and data science.",NA,True,True,True,True,True,True,True,True,True,False
Southern Cross University,-28.814,153.293,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Southern_Cross_vertical.png/330px-Southern_Cross_vertical.png,35,public,Australia,New South Wales,18000,1994,61266203876,NA,https://www.scu.edu.au/,"Environmental Science, Osteopathy",Southern Cross University was founded in 1994 and they are popular for environmental science and osteopathy.,NA,True,False,True,True,True,True,True,True,True,False
Swinburne University of Technology,-37.8216,145.0394,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Swinburne_University_of_Technology_Coat_of_Arms.png/270px-Swinburne_University_of_Technology_Coat_of_Arms.png,14,public,Australia,Victoria (state),39000,1908,61392148444,NA,https://www.swinburne.edu.au/,"Astrophysics, Film",Swinburne University of Technology was founded in 1908 and they are popular for astrophysics and film.,NA,True,True,True,True,True,True,True,True,True,False
The University of Queensland,-27.4975,153.0131,https://upload.wikimedia.org/wikipedia/en/thumb/7/76/University_of_Queensland_%28crest%29.svg/270px-University_of_Queensland_%28crest%29.svg.png,5,public,Australia,Queensland,56000,1909,61733469872,NA,https://www.uq.edu.au/,"Biomed, Mining, AI","The University of Queensland was founded in 1909 and they are popular for biomed, mining and AI.",NA,True,True,True,True,True,True,True,True,True,True
The University of Sydney,-33.8883,151.1873,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/University_of_Sydney_coat_of_arms.png/270px-University_of_Sydney_coat_of_arms.png,3,public,Australia,New South Wales,75000,1850,61286271444,NA,https://www.sydney.edu.au/,"Medicine, Arts, Engineering","The University of Sydney was founded in 1850 and they are popular for medicine, arts and engineering.",NA,True,True,True,True,True,True,True,True,True,True
The University of Western Australia,-31.9805,115.8173,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/UWA_crest.svg/270px-UWA_crest.svg.png,8,public,Australia,Western Australia,30000,1911,61864886000,NA,https://www.uwa.edu.au/,"Marine Science, Indigenous Studies",The University of Western Australia was founded in 1911 and they are popular for marine science and indigenous studies.,NA,True,True,True,True,True,True,True,True,True,False
Torrens University Australia,-34.925,138.601,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/Torrens_University_Australia_Trademark.jpg/270px-Torrens_University_Australia_Trademark.jpg,NA,private,Australia,Australia National,22000,2013,61272537533,futurestudents@torrens.edu.au,https://www.torrens.edu.au/,"Design, Public Health",Torrens University Australia was founded in 2013 and they are popular for design and public health.,NA,True,True,True,False,True,True,True,True,True,False
University of Adelaide,-34.9208,138.6042,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/University-of-Adelaide-Crest.svg/270px-University-of-Adelaide-Crest.svg.png,7,public,Australia,South Australia,31000,1874,61883134455,NA,https://www.adelaide.edu.au/,AI,University of Adelaide was founded in 1874 and they are popular for AI.,NA,True,True,True,True,True,True,True,True,True,False
University of Canberra,-35.237,149.083,https://upload.wikimedia.org/wikipedia/en/thumb/6/62/Logo_of_University_of_Canberra.png/300px-Logo_of_University_of_Canberra.png,26,public,Australia,Australian Capital Territory,19000,1990,61262015111,international@canberra.edu.au,https://www.canberra.edu.au/,Sports Management,University of Canberra was founded in 1990 and they are popular for sports management.,NA,True,True,True,True,True,True,True,True,True,False
University of Divinity,-37.828,145.008,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/University_of_Divinity_Seal.svg/330px-University_of_Divinity_Seal.svg.png,NA,private,Australia,Australia National,1400,1910,61398533177,enquiries@divinity.edu.au,https://divinity.edu.au/,Theology,University of Divinity was founded in 1910 and they are popular for theology.,NA,False,False,False,False,False,False,False,False,False,True
University of Melbourne,-37.7963,144.9612,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/The_University_of_Melbourne_Coat_of_Arms.svg/330px-The_University_of_Melbourne_Coat_of_Arms.svg.png,1,public,Australia,Victoria (state),54000,1853,61390355511,NA,https://www.unimelb.edu.au/,"Law, Medicine, MBA","University of Melbourne was founded in 1853 and they are popular for law, medicine and MBA.",NA,True,True,True,True,True,True,True,True,True,True
University of New England,-30.487,151.644,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Univ_of_New_England_Australia_arms.png/270px-Univ_of_New_England_Australia_arms.png,26,public,Australia,New South Wales,23000,1831,61267733333,NA,https://www.une.edu.au/,Agriculture,University of New England was founded in 1831 and they are popular for agriculture.,NA,True,False,True,True,True,True,True,True,True,False
University of New South Wales,-33.9173,151.2313,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/University_of_New_South_Wales_Crest_Variant_2022.png/195px-University_of_New_South_Wales_Crest_Variant_2022.png,6,public,Australia,New South Wales,71000,1949,61293851000,NA,https://www.unsw.edu.au/,"Engineering, Solar Tech, Business","University of New South Wales was founded in 1949 and they are popular for engineering, solar tech and business.",NA,True,True,True,True,True,True,True,False,True,False
University of Newcastle,-32.892,151.702,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/The_University_of_Newcastle_Coat_of_Arms.svg/300px-The_University_of_Newcastle_Coat_of_Arms.svg.png,14,public,Australia,New South Wales,29000,1965,61249215000,NA,https://www.newcastle.edu.au/,"Architecture, Renewable Energy",University of Newcastle was founded in 1965 and they are popular for architecture and renewable energy.,NA,True,True,True,True,True,True,True,True,True,False
University of Notre Dame Australia,-32.056,115.748,https://upload.wikimedia.org/wikipedia/en/thumb/a/ab/The_University_of_Notre_Dame_Australia_Crest.svg/270px-The_University_of_Notre_Dame_Australia_Crest.svg.png,39,public,Australia,Western Australia,12000,1989,NA, international@nd.edu.au,https://www.notredame.edu.au/,"Medicine, Law",University of Notre Dame Australia was founded in 1989 and they are popular for medicine and law.,NA,False,True,True,True,True,True,True,True,True,True
University of South Australia,-34.9207,138.6041,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Logo_of_the_University_of_South_Australia.svg/345px-Logo_of_the_University_of_South_Australia.svg.png,20,public,Australia,South Australia,35000,1991,61883020114,NA,https://www.unisa.edu.au/,"MBA, Health Sciences",University of South Australia was founded in 1991 and they are popular for MBA and health sciences.,NA,True,True,True,True,True,True,True,True,True,False
University of Southern Queensland,-27.601,151.931,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/University_of_Southern_Queensland_Coat_of_Arms.svg/270px-University_of_Southern_Queensland_Coat_of_Arms.svg.png,24,public,Australia,Queensland,21000,1967,61746312285,study@unisq.edu.au ,https://www.unisq.edu.au/,Engineering ,University of Southern Queensland was founded in 1967 and they are popular for engineering .,NA,True,True,True,True,True,True,True,True,True,False
University of Tasmania,-42.9036,147.3257,https://upload.wikimedia.org/wikipedia/en/6/60/UTasLogo.png,14,public,Australia,Tasmania,30000,1890,61362266200,NA,https://www.utas.edu.au/,"Antarctic Research, Maritime Studies",University of Tasmania was founded in 1890 and they are popular for antarctic research and maritime studies.,NA,True,True,True,True,True,True,True,True,True,False
University of Technology Sydney,-33.8832,151.1996,https://upload.wikimedia.org/wikipedia/en/thumb/6/64/University_of_Technology_Sydney_emblem.svg/195px-University_of_Technology_Sydney_emblem.svg.png,9,public,Australia,New South Wales,52000,1988,61295142000,NA,https://www.uts.edu.au/,IT,University of Technology Sydney was founded in 1988 and they are popular for IT.,NA,True,True,True,True,True,True,True,True,True,False
University of the Sunshine Coast,-26.716,153.062,https://upload.wikimedia.org/wikipedia/en/f/fb/Logo_of_University_of_the_Sunshine_Coast.png,37,public,Australia,Queensland,19000,1994,61754302890,information@usc.edu.au,https://www.usc.edu.au/,"Sustainability, Nursing",University of the Sunshine Coast was founded in 1994 and they are popular for sustainability and nursing.,NA,True,True,True,True,True,True,True,True,True,False
University of Wollongong,-34.4066,150.8787,https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/Shield_of_the_University_of_Wollongong.svg/225px-Shield_of_the_University_of_Wollongong.svg.png,11,public,Australia,New South Wales,32000,1951,61242213218,NA,https://www.uow.edu.au/,Materials Engineering,University of Wollongong was founded in 1951 and they are popular for materials engineering.,NA,True,True,True,True,True,True,True,True,True,False
Victoria University,-37.793,144.9,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Victoria_University_Australia_Logo.png/330px-Victoria_University_Australia_Logo.png,26,public,Australia,Victoria (state),46000,1916,61399196100,NA,https://www.vu.edu.au/,"Trades, Sports Science",Victoria University was founded in 1916 and they are popular for trades and sports science.,NA,True,True,True,True,True,True,True,True,True,False
Western Sydney University,-33.6082,150.7457,https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/Western_Sydney_University_Crest.png/270px-Western_Sydney_University_Crest.png,20,public,Australia,New South Wales,48000,1989,61298525222,internationalstudy@westernsydney.edu.au,https://www.westernsydney.edu.au/,"Medicine, Sustainability",Western Sydney University was founded in 1989 and they are popular for medicine and sustainability.,NA,True,True,True,True,True,True,True,True,True,False
Acharya Nagarjuna University,16.3333,80.4333,https://upload.wikimedia.org/wikipedia/en/2/2a/Acharya_Nagarjuna_University_crest.png,59,public,India,Andhra Pradesh,6000,1976,918632346115,registrar@anu.ac.in,nagarjunauniversity.ac.in,"IT, Biotechnology, Economics, Political Science","A public university in Guntur, Andhra Pradesh, offering a variety of undergraduate and postgraduate programs.",NA,True,True,True,True,True,True,True,True,True,NA
Alagappa University,10.073,78.78,https://upload.wikimedia.org/wikipedia/en/7/73/Alagappa_University_Logo.png,47,public,India,Tamil Nadu,6000,1985,914652260000,registrar@alagappauniversity.ac.in,alagappauniversity.ac.in,"IT, Biotechnology, Economics, Political Science","Located in Karaikudi, Tamil Nadu, it offers a range of programs and has a strong research orientation.",NA,True,True,True,True,False,True,True,True,True,NA
Aligarh Muslim University,27.921,78.0774,https://upload.wikimedia.org/wikipedia/en/3/3c/Aligarh_Muslim_University_logo.png,8,public,India,Uttar Pradesh,39000,1920,915712720961,amucontroller@amu.ac.in,amu.ac.in,"Islamic Studies, Engineering, Medicine, Social Sciences","A public university in Aligarh, offering a wide range of programs with a focus on inclusive education.",NA,True,True,True,True,True,True,True,True,True,NA
Amity University,28.546,77.334,https://upload.wikimedia.org/wikipedia/en/f/ff/Amity_University_logo.png,32,private,India,Uttar Pradesh,37000,2005,911202445252,admissions@amity.edu,amity.edu,"IT, Robotics, Health Tech, Business Analytics",A private university offering a wide range of undergraduate and postgraduate programs across various disciplines.,NA,True,True,True,True,True,True,True,True,True,NA
Amrita Vishwa Vidyapeetham,10.899,76.903,https://upload.wikimedia.org/wikipedia/commons/a/a3/Amrita-vishwa-vidyapeetham-logo.svg,7,private,India,Tamil Nadu,26000,1994,914222685000,info@amrita.edu,amrita.edu,"IT, Robotics, Health Tech, Sustainable Energy","A multi-campus private university in India, known for its emphasis on research and holistic education.",NA,False,True,True,True,True,True,True,False,True,NA
Andhra University,17.7266,83.3133,https://andhrauni-ac.in/img/au-big-logo.png,25,public,India,Andhra Pradesh,15000,1926,918912844141,support@andhrauniversity.edu.in,andhrauniversity.edu.in,"Marine Science, Engineering, Law, Social Sciences","Located in Visakhapatnam, it offers a wide range of undergraduate and postgraduate programs.",NA,True,True,True,True,True,True,True,True,True,NA
Anna University,13.0119,80.2349,https://upload.wikimedia.org/wikipedia/en/4/49/Anna_University_Logo.svg,13,public,India,Tamil Nadu,18000,1978,914422358314,dircfa@annauniv.edu,annauniv.edu,"Aerospace Engineering, Robotics, IT, Renewable Energy","A premier technical university in Chennai, offering undergraduate and postgraduate programs in engineering and technology.",NA,True,True,True,False,False,True,False,False,True,NA
Avinashilingam Institute for Home Science and Higher Education for Women,11.018,76.968,https://media.licdn.com/dms/image/v2/C4E0BAQHyY-6m8BQgzw/company-logo_200_200/company-logo_200_200/0/1630611716894/avinashilingam_institute_for_home_science_and_high_logo?e=2147483647&v=beta&t=AocPHpcWsN3DxyT5uYqvGtpF9IyrtVJSyL8mUaOpklA,98,private,India,Tamil Nadu,8000,1957,914222440570,info@avinuty.ac.in,avinuty.ac.in,"Home Science, IT, Nursing, Education","A Women's deemed university in Coimbatore, Tamil Nadu, focusing on home science and related fields.",NA,True,True,True,False,False,True,True,True,True,NA
Babasaheb Bhimrao Ambedkar University,26.8446,80.939,https://www.hfoa.in/bbau-logo?lightbox=dataItem-jty01r0z2,33,public,India,Uttar Pradesh,5000,1996,915222421856,registrar@bbau.ac.in,bbau.ac.in,"Social Sciences, Law, Political Science, Economics","A central university in Lucknow, named after Dr. B. R. Ambedkar, focusing on inclusive education and research.",NA,True,True,True,True,False,True,True,False,True,NA
Banaras Hindu University,25.2677,82.9913,https://www.bhu.ac.in/Images/images/BHU%20Seal%20JPEG.jpg,5,public,India,Uttar Pradesh,33000,1916,915422368558,registrar@bhu.ac.in,bhu.ac.in,"Sanskrit Studies, Ayurveda, Engineering, Social Sciences","A large public university in Varanasi, offering a wide range of programs with a rich cultural heritage.",NA,True,True,True,True,True,True,True,True,True,NA
Banasthali Vidyapith,26.4021,75.8735,https://upload.wikimedia.org/wikipedia/en/e/e9/Banasthali_Vidyapeeth_Logo.png,67,private,India,Rajasthan,15000,1935,911436230201,info@banasthali.org,banasthali.org,"IT, Women's Education, Biotechnology, Law","A fully residential Women's university in Rajasthan, offering integrated education from primary to Ph.D. levels.",NA,True,True,True,True,False,True,True,True,True,NA
Bangalore University,13.016,77.561,https://upload.wikimedia.org/wikipedia/en/3/34/Bangalore_University_logo.png,81,public,India,Karnataka,9000,1964,918022961000,registrar@bangaloreuniversity.ac.in,bangaloreuniversity.karnataka.gov.in,"IT, Economics, Political Science, Law","A public state university in Bengaluru, Karnataka, offering diverse programs across six faculties.",NA,True,True,True,True,True,True,True,True,True,NA
Bharath Institute of Higher Education and Research (BIHER),12.8208,80.0447,https://upload.wikimedia.org/wikipedia/en/c/cb/Bharath_University_Logo.png,73,private,India,Tamil Nadu,10000,1984,914424766000,info@bharathuniv.ac.in,bharathuniv.ac.in,"IT, Medicine, Engineering, Law","A private deemed university in Chennai, offering programs in engineering, medicine, and science.",NA,True,True,True,True,True,True,True,True,True,NA
Bharathiar University,11.0168,76.9558,https://b-u.ac.in/sites/b-u.ac.in/files/inline-images/bu_logo_icon.png,26,public,India,Tamil Nadu,4000,1982,914222428115,cet@buc.edu.in,b-u.ac.in,"IT, Biotechnology, Economics, Political Science","Named after Tamil poet Subramania Bharati, it offers graduate and postgraduate programs.",NA,True,True,True,True,False,True,True,True,True,NA
Bharathidasan University,10.8155,78.6965,https://www.bdu.ac.in/images/emp-gif.gif,36,public,India,Tamil Nadu,3000,1982,914312407048,registrar@bdu.ac.in,bdu.ac.in,"IT, Biotechnology, Economics, Political Science","Situated in Tiruchirappalli, it offers a variety of programs with a focus on research and innovation.",NA,True,True,True,True,False,True,True,True,True,NA
Bharati Vidyapeeth,18.5079,73.8073,https://cofa.bharatividyapeeth.edu/media/images/top_logo_280224.png,78,private,India,Maharashtra,23000,1964,912024370801,info@bharatividyapeeth.edu,bvp.bharatividyapeeth.edu,"Medicine, Health Tech, IT, Law","A deemed university in Pune, with campuses across India, offering programs in various professional fields.",NA,True,True,True,True,True,True,True,True,True,NA
Birla Institute of Technology,23.4145,85.4392,https://upload.wikimedia.org/wikipedia/en/d/d2/Birla_Institute_of_Technology_Mesra.png,82,private,India,Jharkhand,13000,1955,916512275444,admissions@bitmesra.ac.in,bitmesra.ac.in,"IT, Robotics, Cybersecurity, Business Analytics","A deemed university in Ranchi, Jharkhand, known for engineering and science programs.",NA,False,False,True,False,False,True,False,False,True,NA
"Birla Institute of Technology and Science, Pilani",28.3581,75.5883,https://upload.wikimedia.org/wikipedia/en/d/d3/BITS_Pilani-Logo.svg,19,public,India,Rajasthan,16000,1964,911596255330,ipcdoffice@goa.bits-pilani.ac.in,bits-pilani.ac.in,"IT, Robotics, Space Tech, Engineering","A premier private university in Rajasthan, known for its engineering and science programs.",NA,False,False,True,False,False,True,False,False,True,NA
Calcutta University,22.5726,88.3639,https://upload.wikimedia.org/wikipedia/commons/7/76/Calcutta_University_Logo.svg,18,public,India,West Bengal,18000,1857,913322410071,info@caluniv.ac.in,caluniv.ac.in,"Economics, Political Science, Astronomy, Law","One of the oldest universities in India, located in Kolkata, offering a wide range of programs across various disciplines.",NA,True,True,True,True,True,True,True,True,True,NA
Calicut University,11.2588,75.7804,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-calicut_592560cf2aeae70239af4e21_large.jpg,89,public,India,Kerala,300000,1968,914952287226,registrar@uoc.ac.in,uoc.ac.in,"Economics, Political Science, IT, Law","A public university in Kerala, offering a variety of undergraduate and postgraduate programs.",NA,True,True,True,True,True,True,True,True,True,NA
Central University of Punjab,30.2001,74.6663,https://cup.edu.in/sites/default/files/inline-images/New_Logo_CUP.jpg,83,public,India,Punjab,16000,2009,911652281000,registrar@cup.edu.in,cup.edu.in,"Social Sciences, IT, Economics, Political Science","A central university in Bathinda, Punjab, focusing on research-oriented postgraduate programs.",NA,True,True,True,True,False,True,True,False,True,NA
Central University of Tamil Nadu,10.7732,79.6361,https://upload.wikimedia.org/wikipedia/en/1/1e/Logo_Central_University_of_Tamil_Nadu.png,99,public,India,Tamil Nadu,2000,2009,914362264101,registrar@cutn.ac.in,cutn.ac.in,"IT, Social Sciences, Economics, Political Science","A central university in Thiruvarur, Tamil Nadu, offering programs in science, humanities, and social sciences.",NA,True,True,True,True,False,True,True,False,True,NA
Chandigarh University,30.7547,76.6403,https://upload.wikimedia.org/wikipedia/commons/b/b0/Chandigarh_University_Seal.png,20,private,India,Punjab,31000,2012,918146948000,cucet@cumail.in,cuchd.in,"IT, Cybersecurity, Health Tech, Business Analytics","A private university in Punjab, offering a wide range of programs with a focus on innovation and global exposure.",NA,True,True,True,True,True,True,True,True,True,NA
Chettinad Academy of Research and Education,12.7719,79.976,https://convocation.care.edu.in/dist/img/care_logo.png,79,private,India,Tamil Nadu,3000,2005,914447420000,info@care.edu.in,care.edu.in,"Medicine, Health Tech, IT, Biotechnology","A deemed university in Chennai, specializing in medical and health sciences education.",NA,False,False,True,False,True,True,False,False,True,NA
Chitkara University,30.5025,76.6575,https://www.chitkara.edu.in/wp-content/uploads/2017/11/chitkara-university-logo.png,91,private,India,Punjab,17000,2010,911725072600,admissions@chitkara.edu.in,chitkara.edu.in,"IT, Business Analytics, Health Tech, Law","A private university in Punjab, offering diverse programs in engineering, management, and health sciences.",NA,False,True,True,True,True,True,True,True,True,NA
Christ University,12.9343,77.6049,https://upload.wikimedia.org/wikipedia/en/d/dd/Official_Logo_of_CHRIST%28Deemed_to_be_University%29%2C_bangalore.jpg,60,private,India,Karnataka,31000,1969,918040129100,admissions@christuniversity.in,christuniversity.in,"Business Analytics, Economics, IT, Law","A private deemed university in Bengaluru, offering a wide range of programs with a focus on holistic development.",NA,False,True,True,True,False,True,True,True,True,NA
Cochin University of Science and Technology,9.94,76.326,https://upload.wikimedia.org/wikipedia/en/6/6f/Cochin_University_of_Science_and_Technology_Logo.png,34,public,India,Kerala,9000,1971,914842577290,registrar@cusat.ac.in,cusat.ac.in,"Marine Science, IT, Engineering, Space Tech","Located in Kochi, it specializes in science, engineering, and technology education and research.",NA,False,True,True,False,False,True,True,False,True,NA
